subjects,latent_effect,concentration,overdispersion,method,replicates,latent_recovery_correlation_mean,latent_recovery_correlation_q025,latent_recovery_correlation_q975,split_half_residual_reliability_mean,split_half_residual_reliability_q025,split_half_residual_reliability_q975
4,0.0,8.0,high,correct,80,0.003670387539884988,-0.12493386604134218,0.13531035196878397,0.00018370441780606595,-0.17830857421498822,0.20580615540059968
4,0.0,8.0,high,misspecified,80,-0.003133002102942611,-0.15196388035657632,0.17735377566104632,0.6750257940874951,0.5794617986940606,0.7742382995986941
4,0.0,8.0,high,raw,80,0.0029506287234918123,-0.1280317869993034,0.16406558389050604,0.7951584368821337,0.6944465258773829,0.8591061805681965
4,0.0,120.0,low,correct,80,0.0034145197279705575,-0.1345754456493966,0.16139280442507142,-0.006012797343448288,-0.17322248172552354,0.1830071571666378
4,0.0,120.0,low,misspecified,80,0.0008985109695817215,-0.1451066195004628,0.1631999204039104,0.8630002132155472,0.8001010309838258,0.9002079509424171
4,0.0,120.0,low,raw,80,0.00285168466881948,-0.13284062250854148,0.16285555893145465,0.9212392130520322,0.8862994887706058,0.9441943391639143
4,0.55,8.0,high,correct,80,0.6354631874405344,0.5428129288277821,0.7300853855323621,0.39884069188780197,0.23569123364258127,0.5792722451626916
4,0.55,8.0,high,misspecified,80,0.39863205173679345,0.26621020433065723,0.5091261776534033,0.7307300109316281,0.6234856988355897,0.8413675972096368
4,0.55,8.0,high,raw,80,0.3373502838832625,0.1915522215574565,0.44997470419974733,0.8166540553014942,0.7462971859014119,0.8751904289906135
4,0.55,120.0,low,correct,80,0.7487549829435899,0.685111775785954,0.7929064404823537,0.693915545739497,0.5793824988527537,0.8012678268794302
4,0.55,120.0,low,misspecified,80,0.42998570973088557,0.3368075576418366,0.5321636300370839,0.8977016265454731,0.8541590225178237,0.9323973281753023
4,0.55,120.0,low,raw,80,0.3573875691381473,0.21678649334037522,0.46368233264124176,0.9321505263726977,0.9049154594649875,0.9546031311934458
12,0.0,8.0,high,correct,80,0.0040536360185959115,-0.1801332449728219,0.1462749656221639,0.004700508524911446,-0.16188198614556548,0.16788861903434446
12,0.0,8.0,high,misspecified,80,0.003739851054772757,-0.1453869288402111,0.16719453381510313,0.863135495693118,0.8190830931383045,0.9043496777772853
12,0.0,8.0,high,raw,80,0.0012207832604201128,-0.1800795293649392,0.16860594065277557,0.9214711931627158,0.8895643786354676,0.9490636234453025
12,0.0,120.0,low,correct,80,0.010185438885870346,-0.12625220676530036,0.18379622291624859,-0.00012609413548175102,-0.15968368266132896,0.17164530232295314
12,0.0,120.0,low,misspecified,80,-0.008762753993392033,-0.15517654459422908,0.15436784472839318,0.9496876497005582,0.9288534163859842,0.9673051988090944
12,0.0,120.0,low,raw,80,-0.0018827192815210857,-0.15405762802228845,0.12468326183274868,0.9724013175173681,0.9591164137926516,0.9843715088242309
12,0.55,8.0,high,correct,80,0.7415431338577696,0.6616141134215245,0.794247246099247,0.6879474519001073,0.566517738569507,0.8002061392141187
12,0.55,8.0,high,misspecified,80,0.4199200199293241,0.3362125136576239,0.5259726836807783,0.8981447935747056,0.8560539611777559,0.9256846618577974
12,0.55,8.0,high,raw,80,0.3466116198154102,0.2327832434570537,0.4728350290049922,0.9355456546136187,0.909737526575919,0.9560796542400327
12,0.55,120.0,low,correct,80,0.7914228797491367,0.730325206100168,0.8483918100252786,0.8665652664229926,0.8108660744918942,0.9160415319452719
12,0.55,120.0,low,misspecified,80,0.4367909502671127,0.31265203571213973,0.546987113906116,0.9633040827585004,0.9463880444929369,0.9772397152775121
12,0.55,120.0,low,raw,80,0.35816682418791973,0.2334025539672633,0.47427968046674074,0.9768308020511987,0.9683376986305553,0.9855793491789204
42,0.0,8.0,high,correct,80,-0.003356132591868958,-0.17638961960872918,0.13512799894030794,0.002844587813173775,-0.1891063699374902,0.2162286435225778
42,0.0,8.0,high,misspecified,80,0.0015317766511499596,-0.14529796884578006,0.1830862328542858,0.9576695890215783,0.9391365849206079,0.9733223505677296
42,0.0,8.0,high,raw,80,0.01199217092092789,-0.1185786484971933,0.16024775135836747,0.9769113393400601,0.9675568561733717,0.9844232503802623
42,0.0,120.0,low,correct,80,0.010350951781166106,-0.12941586258027746,0.19632581875027458,0.006579914409873216,-0.16890819446137223,0.19300265296815508
42,0.0,120.0,low,misspecified,80,-0.00044853453670322743,-0.1561293392690863,0.13693106947224798,0.9850004685350772,0.9786139561470079,0.989374633675055
42,0.0,120.0,low,raw,80,-0.004322253623596976,-0.15641230751608395,0.1397612606781159,0.9921172932545785,0.9885803603485185,0.9952405203920129
42,0.55,8.0,high,correct,80,0.8004620105594313,0.7333337803130989,0.8425469966460718,0.8900235545373546,0.8308689771657063,0.9294578466386917
42,0.55,8.0,high,misspecified,80,0.4403411620748505,0.32283346090584886,0.5418777612776454,0.9681029241218855,0.95429178406287,0.9801015575943032
42,0.55,8.0,high,raw,80,0.3578307061073903,0.22232023277283522,0.4968317372264955,0.9804760044621105,0.9696516685240723,0.9877698922490262
42,0.55,120.0,low,correct,80,0.8127364193264839,0.7507172804300604,0.8504427132859897,0.9588965164564925,0.9429170558456149,0.9748028011956819
42,0.55,120.0,low,misspecified,80,0.43604331976031396,0.32806890583997567,0.516204107064227,0.9892130555416274,0.9843933906595529,0.9927120971986305
42,0.55,120.0,low,raw,80,0.3636098157659985,0.23762262453497346,0.4637118536194994,0.9932170516201714,0.9894628843238429,0.9955309913372993
84,0.0,8.0,high,correct,80,-0.0005234795821983069,-0.17586958249478815,0.1606296297032004,-0.0013283081844297259,-0.18299816503299834,0.23663719392003357
84,0.0,8.0,high,misspecified,80,0.004319102802891386,-0.14543500323050623,0.1410289849457844,0.9778617361681331,0.9689314221073064,0.9868088663569028
84,0.0,8.0,high,raw,80,0.008465062699282606,-0.1546590806386707,0.15497268182908558,0.9880348657874309,0.9826124395170257,0.991876150333622
84,0.0,120.0,low,correct,80,-0.0011995440728324886,-0.1233176997069155,0.13389132379721835,0.007540711995570373,-0.12031192547797982,0.15190296524709795
84,0.0,120.0,low,misspecified,80,-0.007027911313956535,-0.12627503992943684,0.11443716016643818,0.9925500088215351,0.9892744607812479,0.9948134359053667
84,0.0,120.0,low,raw,80,-0.009549076324468112,-0.12560198270673667,0.13716363893470454,0.996053938699589,0.9943214956159652,0.9972216251956575
84,0.55,8.0,high,correct,80,0.8088130613312478,0.7654066023595738,0.8538335227213586,0.9423891566531168,0.9018201667128788,0.9606196277244126
84,0.55,8.0,high,misspecified,80,0.44774461324427345,0.32454360184154707,0.5433551487560098,0.9837007696799531,0.9766539037591991,0.9888820431173141
84,0.55,8.0,high,raw,80,0.37663004034835523,0.25596238715229297,0.5014285382115906,0.9899268056831619,0.9849536254557367,0.9937569881849638
84,0.55,120.0,low,correct,80,0.8209314681718187,0.7736825585460382,0.8625279145764266,0.9790375416429885,0.9697706989223649,0.9866989927247496
84,0.55,120.0,low,misspecified,80,0.44468040786613916,0.2955759058578756,0.5620608151075833,0.9943607753518888,0.9917341325193568,0.996351407373057
84,0.55,120.0,low,raw,80,0.357449245572262,0.2238606252419542,0.4798784851381098,0.9965218655184902,0.9949649858814402,0.9977304750946852
